"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.121040375E0,-4.308340759E0,6.033652954E0,1.965412903E-1,7.416562313E0
1.131120375E0,-4.349355469E0,5.918242950E0,1.999841309E-1,7.347277473E0
1.141199375E0,-4.421954498E0,5.817352753E0,2.026785278E-1,7.310017320E0
1.151278375E0,-4.529281311E0,5.754034424E0,1.986369324E-1,7.325486876E0
1.161357375E0,-4.653223572E0,5.728287964E0,1.869612122E-1,7.382460775E0
1.171436375E0,-4.781806183E0,5.743855591E0,1.971400452E-1,7.476390280E0
1.181515375E0,-4.905748444E0,5.798791351E0,1.902543640E-1,7.597930353E0
1.191595375E0,-5.015619965E0,5.897735596E0,1.847158813E-1,7.744278452E0
1.201674375E0,-5.087919617E0,6.031856689E0,1.863624573E-1,7.893348600E0
1.211753375E0,-5.115312653E0,6.183940430E0,2.067201233E-1,8.028092923E0
1.221832375E0,-5.104684753E0,6.330036621E0,2.146536255E-1,8.134693985E0
1.231911375E0,-5.037773895E0,6.491999817E0,2.276765442E-1,8.220526994E0
1.241991375E0,-4.936584320E0,6.622678070E0,2.430944824E-1,8.263705252E0
1.252070375E0,-4.790637817E0,6.710994415E0,2.534230042E-1,8.249356336E0
1.262149375E0,-5.591173096E0,7.559879150E0,-3.689976654E0,1.010093644E1
1.272228375E0,9.929451599E0,1.769889496E1,1.066397415E1,2.292520963E1
1.282307375E0,3.699631577E1,3.508194672E1,6.271179016E1,8.082226791E1
1.292387375E0,-5.234464874E0,7.843688965E-2,2.209405518E-1,5.239712740E0
1.302466375E0,-4.088298340E0,8.267308044E-1,-4.940625916E0,6.465868200E0
1.312545375E0,5.107379150E-1,-3.188070374E0,3.106998962E1,3.123729984E1
1.322624375E0,2.748584290E0,-5.318739624E0,2.855985947E1,2.918063192E1
1.332703375E0,2.171683960E0,-5.645510101E0,1.091919342E1,1.248265919E1
1.342783375E0,-1.465452576E0,-5.518723755E0,1.545985107E1,1.648062069E1
1.352862375E0,-7.595355377E0,-5.344336395E0,1.959290634E1,2.168255828E1
1.362941375E0,-9.575587463E0,-3.476370850E0,1.340507401E1,1.683665759E1
1.373020375E0,-7.382947083E0,-1.098415833E0,1.005144791E1,1.251982548E1
1.383099375E0,-7.390431519E0,-3.001258850E-1,1.051263885E1,1.285395384E1
1.393179375E0,-9.202263794E0,-1.265767822E0,9.030870209E0,1.295532492E1
1.403258500E0,-9.735604706E0,-2.394869843E0,7.404651947E0,1.246379842E1
1.413337500E0,-8.088130646E0,-2.348765717E0,7.449857941E0,1.124432929E1
1.423416500E0,-7.650291138E0,-2.614463196E0,6.820117493E0,1.057716290E1
1.433495500E0,-8.873846741E0,-3.548371124E0,6.347999268E0,1.147315076E1
1.443575500E0,-9.517807617E0,-3.897744598E0,4.710254974E0,1.131227549E1
1.453654500E0,-8.712482300E0,-3.309617615E0,4.136348419E0,1.019658251E1
1.463733500E0,-7.388036499E0,-2.322719879E0,6.239325256E0,9.945214457E0
1.473812500E0,-1.030112869E1,-3.275638275E0,1.410277313E1,1.776882856E1
